commit	event	strategy_name	sharpe	max_dd	note
25f7aeb	evolve	BTCLeaderBreakout	0.9038	-6.39	ROC exit -1.5 bracket. Slight improvement over -2.0: Sharpe 0.9013→0.9038 profit 49.4→50.7. Both -1.5 and -2.0 are near-optimal; keep -1.5 for marginal Sharpe edge.
25f7aeb	stable	MomentumMTF	0.8343	-8.67	Stable during r16. 3rd consecutive stable — must evolve next round.
25f7aeb	stable	PanicReboundMTF	0.6558	-4.72	Stable at 0.66 peak. Volume 1.10x rollback confirmed.
fef0daa	evolve	BTCLeaderBreakout	0.9103	-8.30	ROC exit -1.0 bracket. Sharpe 0.9038→0.9103! Tighter ROC exit catches momentum failure earlier, reducing variance. DD increased -6.39→-8.30 but risk-adjusted return improved. Trend: tighter ROC = higher Sharpe. Try 0.0 next.
fef0daa	evolve	MomentumMTF	0.8246	-8.67	DISCARDED: added 4h close>EMA50 filter. Sharpe 0.8343→0.8246 minor regression. The 4h EMA9>EMA21 crossover already captures trend; adding close>EMA50 over-constrains. Rollback.
fef0daa	stable	PanicReboundMTF	0.6558	-4.72	Stable during r17. Anchor unchanged.
3296c1a	evolve	BTCLeaderBreakout	0.8804	-8.25	DISCARDED: ROC exit 0.0. Sharpe 0.9103→0.8804. Too tight — exits on every minor pullback. Rollback to -1.0.
3296c1a	stable	MomentumMTF	0.8343	-8.67	Stable at 0.83 peak. 4h EMA50 filter rolled back successfully.
3296c1a	stable	PanicReboundMTF	0.6558	-4.72	Stable during r18. Anchor unchanged.
2f3f989	stable	BTCLeaderBreakout	0.9103	-8.30	Stable at 0.9103 peak. ROC -1.0 is bracketed optimum (range: -0.5→-2.5 tested; -2.5=0.87, -2.0=0.90, -1.5=0.90, -1.0=0.91, 0.0=0.88). Tight but not too tight.
2f3f989	stable	MomentumMTF	0.8343	-8.67	Stable at 0.8343 peak. All pair-specific gates and exit confirmed optimal.
2f3f989	stable	PanicReboundMTF	0.6558	-4.72	Stable at 0.66 peak. Run 3 optimum reconfirmed.
