commit	event	strategy_name	sharpe	max_dd	note
1d43a28	evolve	LeaderVolumeMomentum	0.5883	-4.32	REGRESSION: BTC ROC 4→5 hurt (0.84→0.59). Reverted.
1d43a28	evolve	PanicReboundMTF	0.7504	-4.89	REGRESSION: 4h RSI 50→48 slight hurt (0.79→0.75). Reverted.
1d43a28	evolve	RangeExpansionBreakout	0.7768	-3.55	REGRESSION: compression 0.68→0.65 hurt (0.83→0.78). Reverted.
1d43a28	evolve	TrendMtfConfluence	1.3946	-10.00	NEAR-FLAT: RSI exit 78→76 (1.40→1.39). Essentially unchanged. Reverted.
6e3de15	evolve	SuperTrendPullback	0.6425	-16.05	4h trend filter + tighter RSI 32-48 reduced trades 277→220, Sharpe 0.70→0.64. DD still -16%.
6e3de15	evolve	LeaderVolumeMomentum	0.8414	-5.55	Reverted to round 5 best (BTC ROC back to 4.0).
6e3de15	evolve	PanicReboundMTF	0.7867	-5.08	Reverted to round 5 best (4h RSI back to 50).
6e3de15	evolve	RangeExpansionBreakout	0.8301	-3.55	Reverted to round 5 best (compression back to 0.68).
6e3de15	evolve	TrendMtfConfluence	1.4011	-8.99	Reverted to round 5 best (RSI exit back to 78).
983b74f	evolve	SuperTrendPullback	-0.1477	-1.94	COLLAPSED: triple exit + sensitive ST too aggressive (11 trades). Reverting to first version.
983b74f	stable	LeaderVolumeMomentum	0.8414	-5.55	Untouched.
983b74f	stable	PanicReboundMTF	0.7867	-5.08	Untouched.
983b74f	stable	RangeExpansionBreakout	0.8301	-3.55	Untouched.
983b74f	stable	TrendMtfConfluence	1.4011	-8.99	Untouched.
e777306	evolve	SuperTrendPullback	0.7034	-18.21	Reverted to first version (0.70). Working baseline with DD problem.
e777306	stable	LeaderVolumeMomentum	0.8414	-5.55	Untouched.
e777306	stable	PanicReboundMTF	0.7867	-5.08	Untouched.
e777306	stable	RangeExpansionBreakout	0.8301	-3.55	Untouched.
e777306	stable	TrendMtfConfluence	1.4011	-8.99	Untouched.
dbc3795	evolve	SuperTrendPullback	0.7297	-14.32	Disable AVAX: +0.03 Sharpe, DD -18.21→-14.32. AVAX was the DD contributor.
dbc3795	stable	LeaderVolumeMomentum	0.8414	-5.55	3rd stable — stagnation.
dbc3795	stable	PanicReboundMTF	0.7867	-5.08	3rd stable — stagnation.
dbc3795	stable	RangeExpansionBreakout	0.8301	-3.55	3rd stable — stagnation.
dbc3795	stable	TrendMtfConfluence	1.4011	-8.99	3rd stable — stagnation.
